model,dev_fold,test_fold,epoch,dev_r2,test_r2,dev_rmse,test_rmse,dev_mae,test_mae,tr_loss,dev_loss,test_loss
mobile,0,1,18,-0.786934,0.11275,6.044336,3.347776,4.102567,2.586689,2.616908,36.533997,11.207602
mobile,0,2,25,-0.968783,-0.391386,6.381943,5.098636,4.634863,3.538816,2.085932,40.729198,25.996088
mobile,0,3,12,-0.966364,-0.523875,6.345081,4.563434,4.461575,3.749012,3.325415,40.260047,20.824933
mobile,0,4,19,-1.162083,-0.061222,7.310503,4.254377,5.41707,3.085855,2.317556,53.443451,18.099727
mobile,0,5,30,-1.469454,-0.355998,7.871928,5.193902,6.117018,3.568062,1.702077,61.967255,26.97662
mobile,0,6,19,-1.513968,-0.564452,7.090058,5.468596,5.547854,3.688965,2.844703,50.26893,29.905543
mobile,0,7,16,-0.769029,-0.473836,5.834973,3.967199,4.105173,3.369165,2.776592,34.046905,15.738667
mobile,0,8,28,-1.078992,-0.374079,6.896154,4.401245,5.152688,3.673606,1.965199,47.556934,19.370955
mobile,0,9,30,-1.088045,-2.264852,6.746285,7.810196,4.938541,6.585141,1.540473,45.512356,60.999161
mobile,1,0,14,0.266848,-1.494513,3.023017,7.146578,2.403879,5.626715,3.034178,9.138629,51.073574
mobile,1,2,25,0.232919,-0.325503,3.155929,4.736817,2.552711,3.339309,1.991603,9.959886,22.437436
mobile,1,3,15,0.154364,-1.091621,3.319095,4.783002,2.322798,3.845666,4.185778,11.016395,22.877109
mobile,1,4,25,0.291347,-0.180486,2.869122,4.1654,2.391111,3.068162,2.247348,8.231863,17.350555
mobile,1,5,31,0.152668,-0.342352,3.276653,5.235651,2.708597,3.447655,1.587825,10.736453,27.412039
mobile,1,6,26,0.255962,-0.166143,3.0463,4.701093,2.489329,3.236776,2.086911,9.279944,22.100271
mobile,1,7,28,0.266739,-0.555224,3.11045,4.05228,2.522516,3.333156,2.09111,9.674896,16.420976
mobile,1,8,29,0.241257,-0.114591,3.083023,4.052741,2.329706,3.392408,1.958705,9.50503,16.424709
mobile,1,9,20,0.287638,-1.645046,2.992398,6.983227,2.360865,5.557834,2.803591,8.954444,48.765461
mobile,2,0,21,-0.190391,-1.008466,4.719433,6.348903,3.565557,4.783432,2.083975,22.273046,40.308577
mobile,2,1,29,-0.027593,0.064331,4.411553,3.448358,3.350625,2.785158,1.766383,19.461803,11.891171
mobile,2,3,30,-0.449813,-0.117182,4.984445,3.942518,3.385756,3.063231,1.746357,24.844695,15.543446
mobile,2,4,18,-0.029579,-0.121033,4.362668,4.128681,3.049597,3.315592,3.019139,19.032873,17.046006
mobile,2,5,28,0.073532,-0.023613,4.165253,4.526885,2.996077,3.12842,1.678247,17.349335,20.492691
mobile,2,6,23,-0.121174,-0.207221,4.545525,4.412079,3.329279,3.186554,2.188799,20.661798,19.466441
mobile,2,7,19,-0.070989,-0.682844,4.273282,4.231415,2.850156,3.38538,2.274072,18.260934,17.904868
mobile,2,8,7,-0.452115,-0.358262,4.975877,4.489846,3.633482,3.712479,16.608515,24.759349,20.158713
mobile,2,9,15,-0.058354,-1.086464,4.450004,6.254003,3.318947,5.242515,2.644843,19.802535,39.112551
mobile,3,0,29,-0.438486,-0.994032,4.519405,6.592366,3.814723,4.922012,2.152568,20.425018,43.45929
mobile,3,1,24,-0.169065,0.383349,3.931648,2.764071,3.384608,2.374851,2.068512,15.457855,7.640088
mobile,3,2,27,-0.31099,-0.103088,4.15735,4.539785,3.506047,3.158609,1.623411,17.283559,20.609648
mobile,3,4,19,-0.291048,-0.130133,4.122399,4.367709,3.506676,3.35994,2.495294,16.994175,19.076879
mobile,3,5,27,-1.00017,-0.619214,5.174101,5.85925,4.320346,4.098542,2.498499,26.771326,34.330809
mobile,3,6,30,-0.175184,-0.058406,4.008219,4.75812,3.274957,3.2235,1.76834,16.065819,22.639704
mobile,3,7,20,-0.165133,-0.583235,3.910546,3.990967,3.301028,3.043927,2.548928,15.292369,15.927818
mobile,3,8,26,-2.510432,-1.61494,6.803704,5.986001,5.650698,4.652821,2.144587,46.290394,35.832212
mobile,3,9,23,-0.492047,-1.597216,4.419639,6.781471,3.711691,5.427775,1.694563,19.533215,45.988354
mobile,4,0,23,-0.064028,-1.212453,4.239787,7.118273,3.059186,5.36717,2.433193,17.975796,50.669815
mobile,4,1,8,0.0375,0.083113,3.845122,3.502643,2.808381,2.671745,12.83644,14.78496,12.268507
mobile,4,2,24,-0.025088,-0.437662,4.098786,5.202603,2.987677,3.843055,2.113302,16.800052,27.06708
mobile,4,3,13,-0.053386,-0.733667,4.21853,4.665321,3.084422,4.041821,3.543777,17.796,21.765224
mobile,4,5,15,-0.032468,0.004276,4.155998,4.239578,3.183601,3.043061,2.984635,17.272321,17.97402
mobile,4,6,11,0.068645,-0.182001,3.947251,4.74683,2.924464,3.344203,5.687453,15.580789,22.532394
mobile,4,7,9,-0.258772,-0.376842,4.655219,3.921977,3.471598,3.098979,7.375961,21.671069,15.381907
mobile,4,8,10,0.035512,-0.133906,3.984819,3.875542,2.859617,3.082999,8.657039,15.878785,15.019828
mobile,4,9,25,0.113374,-1.589801,3.906941,6.754207,2.988966,5.417854,1.843463,15.264187,45.619316
mobile,5,0,19,0.207834,-0.764917,3.919431,6.211278,2.770533,4.406113,1.834586,15.36194,38.579971
mobile,5,1,9,0.187525,0.073584,3.954756,3.299165,2.816025,2.563308,9.985211,15.640093,10.884488
mobile,5,2,26,-0.046841,-0.033737,4.478168,4.186296,3.044114,3.134637,1.701662,20.053987,17.525076
mobile,5,3,17,-0.117544,-0.468735,4.167073,4.487149,3.151906,3.822927,3.244562,17.364493,20.134501
mobile,5,4,25,-0.026443,-0.307518,4.175636,4.6856,2.942116,3.721865,1.66873,17.435934,21.954846
mobile,5,6,17,0.067212,-0.559735,3.976526,5.067688,2.852266,3.371663,2.729622,15.812756,25.681458
mobile,5,7,8,0.186582,-0.670515,3.583617,4.378372,2.694894,3.657821,13.961463,12.842314,19.170144
mobile,5,8,31,-0.09396,-0.346141,4.867977,4.412342,3.213916,3.73186,1.673208,23.697206,19.468758
mobile,5,9,21,0.159924,-1.555573,3.64743,7.025099,2.506237,5.826418,1.73003,13.303745,49.352013
mobile,6,0,28,-0.06796,-1.323938,4.854809,6.909415,3.494074,5.150432,1.522553,23.569169,47.740021
mobile,6,1,25,0.131817,0.31666,4.063803,2.922626,2.812536,2.356275,1.77582,16.514495,8.541744
mobile,6,2,23,-0.187715,-0.381016,4.762493,5.083284,3.445438,3.780245,2.094456,22.681336,25.839773
mobile,6,3,19,-0.391522,-1.051685,5.52259,5.19808,3.838965,4.400251,2.193495,30.499006,27.020031
mobile,6,4,22,-0.123663,-0.130841,4.940868,4.304509,3.229413,3.509539,1.460193,24.412176,18.528801
mobile,6,5,13,-0.03439,-0.182869,5.035087,4.851043,3.586693,3.486643,3.980979,25.352097,23.532616
mobile,6,7,24,-0.015305,-1.228462,4.051587,4.894872,2.866434,3.720555,1.930423,16.415356,23.959773
mobile,6,8,28,-0.086775,-0.116564,4.85909,4.048421,3.240586,3.434899,1.632137,23.610757,16.389713
mobile,6,9,15,-0.131714,-1.567312,4.657413,6.832492,3.223228,5.650183,2.408755,21.691491,46.682953
mobile,7,0,18,-0.43884,-1.140411,3.943894,7.171614,3.367763,5.418469,2.284653,15.554298,51.432041
mobile,7,1,30,-0.445021,0.130632,4.064657,3.3465,3.311354,2.601745,1.839674,16.521434,11.19906
mobile,7,2,30,-0.162668,-0.191333,3.636315,4.739498,2.910564,3.161782,1.907106,13.222787,22.462842
mobile,7,3,9,-0.370972,-0.387186,3.799567,4.321049,3.292662,3.570733,7.978598,14.436709,18.67147
mobile,7,4,5,-0.252587,-0.177672,3.723615,4.448283,3.336299,3.022323,33.519703,13.865307,19.78722
mobile,7,5,5,-0.175586,-0.187439,3.635246,4.636091,3.40375,2.987174,33.179542,13.215012,21.493334
mobile,7,6,30,-0.146389,-0.114263,3.572312,4.259606,2.876426,2.868196,1.709154,12.761416,18.14424
mobile,7,8,31,-0.2659,-0.342334,3.714633,4.222889,3.116573,3.859262,1.459468,13.798501,17.832789
mobile,7,9,20,-0.199776,-1.764907,3.506766,6.873996,2.882603,5.610115,2.510936,12.297409,47.251827
mobile,8,0,31,-0.444707,-1.843265,4.54165,7.795818,3.304232,6.179126,1.701653,20.626581,60.774778
mobile,8,1,30,-0.727446,-0.160409,5.022922,3.925195,4.113626,2.857523,2.411648,25.229742,15.407155
mobile,8,2,25,-0.06845,-0.294744,4.010861,4.898773,3.474015,3.447185,1.458859,16.087009,23.997973
mobile,8,3,25,-0.190694,-0.900743,4.193982,4.884953,3.541989,4.221117,1.718212,17.589485,23.86277
mobile,8,4,28,-0.033851,0.04416,3.755179,3.978622,3.189316,3.056757,1.611665,14.101369,15.829432
mobile,8,5,10,0.019584,-0.281257,3.862703,5.122787,3.545481,3.830705,6.810576,14.920471,26.242941
mobile,8,6,24,-0.364526,-0.575959,4.387628,5.083087,3.40799,3.066355,2.138362,19.251282,25.837775
mobile,8,7,25,-0.00029,-0.737658,3.649025,4.432454,3.128619,3.705403,2.230771,13.315387,19.646646
mobile,8,9,26,-0.091085,-1.711906,3.987027,7.088657,3.449816,5.811231,2.069808,15.896384,50.249056
mobile,9,0,23,-1.563757,-0.985281,6.810827,6.170622,5.504738,4.610089,1.548427,46.387358,38.076574
mobile,9,1,23,-1.422564,0.167024,6.308693,3.211507,4.868487,2.55356,1.748603,39.79961,10.313775
mobile,9,2,10,-1.142786,-0.118191,6.351743,4.555412,5.275934,3.494891,10.281504,40.344637,20.75178
mobile,9,3,28,-1.330568,-0.707452,6.9119,4.624915,5.382862,4.058815,1.861239,47.774368,21.389837
mobile,9,4,23,-0.779308,-0.131097,5.609328,4.414283,4.67544,3.780067,2.051936,31.464564,19.485891
