model,dev_fold,test_fold,epochs,dev_r2_mean,test_r2_mean,dev_rmse_mean,test_rmse_mean
mobile,0,1,32,-2.19008584375,-0.70344675,8.18842846875,4.41322196875
mobile,0,2,32,-2.06354059375,-1.24085446875,7.97187975,6.08697103125
mobile,0,3,32,-2.260228875,-1.675599625,8.2790168125,5.76708890625
mobile,0,4,32,-2.47024725,-0.6804677812500001,8.5142500625,5.04625540625
mobile,0,5,32,-2.34110675,-0.951882375,8.37700365625,5.84365021875
mobile,0,6,32,-2.818448875,-1.29115025,8.9176071875,6.677170125
mobile,0,7,32,-2.79720725,-1.21942915625,8.89431371875,4.80810184375
mobile,0,8,32,-2.3194045,-1.27160984375,8.30991015625,5.6057020625
mobile,0,9,32,-2.2107833125,-3.1718555625000002,8.26182209375,8.6505444375
mobile,1,0,32,-0.717114,-2.3391323125,4.42551084375,8.24938928125
mobile,1,2,32,-0.86731871875,-1.48763596875,4.6298331875,6.5136051875
mobile,1,3,32,-0.67015375,-1.83473640625,4.42532084375,5.84383421875
mobile,1,4,32,-0.4397963125,-0.5972938125,3.98750703125,4.94809503125
mobile,1,5,32,-0.51951675,-0.86195759375,4.1547224375,5.684557375
mobile,1,6,32,-0.48991175,-0.88114290625,4.1569831875,6.061039
mobile,1,7,32,-0.4139405625,-0.98495484375,3.98423315625,4.520902875
mobile,1,8,32,-0.3888438125,-0.72663246875,3.9397265,4.8196405
mobile,1,9,32,-0.37824050000000004,-2.51201084375,3.98262009375,7.85298690625
mobile,2,0,32,-0.9311359375,-1.82302703125,5.69126071875,7.60598359375
mobile,2,1,32,-0.88865603125,-0.47617009375,5.57734884375,4.02330703125
mobile,2,3,32,-1.434549875,-1.80611625,6.45184525,5.8708810625
mobile,2,4,32,-1.04834075,-0.6029994375,5.8953150625,4.92856628125
mobile,2,5,32,-0.877769625,-0.78222675,5.46560525,5.535416375
mobile,2,6,32,-1.0689623125,-0.8095971875,5.91241940625,6.00979353125
mobile,2,7,32,-0.7295224687499999,-0.936220375,5.287443,4.47459209375
mobile,2,8,32,-1.4564051875,-1.26793340625,6.402887,5.5745804375
mobile,2,9,32,-0.930605125,-2.178046375,5.5934686875,7.274579125
mobile,3,0,32,-1.695590875,-2.0058851875,5.76588215625,7.91445503125
mobile,3,1,32,-1.2239735,-0.3168470625,5.07530353125,3.7918996875
mobile,3,2,32,-1.52295946875,-0.8534501875,5.44134375,5.4604785
mobile,3,4,32,-1.49000434375,-0.63727140625,5.41047609375,4.97638865625
mobile,3,5,32,-2.25300246875,-1.32569646875,6.388602875,6.49072984375
mobile,3,6,32,-1.09718625,-0.58189584375,5.0332568125,5.4367836875
mobile,3,7,32,-1.20687653125,-0.9471396875,5.1579081875,4.49411034375
mobile,3,8,32,-3.80159859375,-2.4488595,7.85549521875,6.9862493125
mobile,3,9,32,-1.7349969375,-2.850196,5.7207925625,8.15526315625
mobile,4,0,32,-0.595543875,-1.71975953125,4.979534,7.51250334375
mobile,4,1,32,-0.57861046875,-0.3148655,4.9385279375,3.77876575
