test_fold, dev_fold, dev_MAE, test_MAE, dev_RMSE, test_RMSE, dev_R2, test_R2
0, 1, 2.483144, 5.326007, 3.301315, 6.909545, 0.159366, -1.312811
0, 2, 3.805820, 5.529549, 4.967870, 7.281372, -0.322382, -1.480392
0, 3, 3.966255, 5.770205, 4.932907, 7.059643, -0.733548, -1.543721
0, 4, 3.078360, 6.266562, 4.319868, 7.862565, -0.107248, -1.617826
0, 5, 4.877327, 7.817406, 6.126856, 9.097375, -1.354924, -3.108871
0, 6, 3.558202, 5.236651, 5.306414, 6.964584, -0.293435, -1.220961
0, 7, 4.209923, 8.560158, 4.852590, 10.029360, -1.171980, -3.403731
0, 8, 4.309700, 7.214927, 5.534843, 8.746526, -1.225473, -2.620756
0, 9, 5.101264, 4.357231, 6.401682, 6.269776, -1.428535, -0.886295
1, 0, 8.409082, 4.288287, 9.777353, 5.210484, -3.494586, -1.099792
1, 2, 4.049467, 3.111291, 5.481205, 4.317462, -0.623486, -0.430873
1, 3, 3.911223, 2.675992, 4.838589, 3.590991, -0.715879, 0.037488
1, 4, 3.712817, 2.691442, 4.652859, 3.407160, -0.252279, -0.099052
1, 5, 3.267652, 2.775340, 5.006797, 3.540968, -0.486033, -0.062005
1, 6, 3.443398, 2.116045, 4.791369, 3.004037, -0.409834, 0.227727
1, 7, 3.482703, 2.413684, 4.128168, 2.962664, -0.606441, 0.237721
1, 8, 3.823717, 2.825073, 4.935561, 3.808700, -0.875554, -0.155531
1, 9, 5.167482, 2.715758, 6.354978, 3.383505, -1.490665, 0.111888
2, 0, 6.432746, 4.614954, 8.294528, 5.995474, -2.006877, -0.921132
2, 1, 2.972562, 4.256781, 4.073285, 5.675765, -0.161481, -0.724203
2, 3, 4.813094, 4.718673, 5.772693, 5.954428, -1.442340, -0.899751
2, 4, 3.684716, 3.729821, 5.107679, 5.472832, -0.511543, -0.746227
2, 5, 3.949422, 4.494096, 5.570532, 5.871091, -0.617206, -0.852374
2, 6, 4.635458, 4.578800, 6.442951, 5.981976, -0.713545, -1.088180
2, 7, 3.404295, 3.412848, 3.954666, 4.736792, -0.390167, -0.308728
2, 8, 3.536666, 3.249607, 4.274367, 5.174068, -0.304378, -0.440862
2, 9, 7.679116, 4.298368, 8.916677, 5.860230, -3.131079, -1.014148
3, 0, 6.547941, 4.161188, 7.889998, 5.383997, -2.248085, -1.066818
3, 1, 2.784100, 4.329685, 3.672018, 4.980476, 0.003783, -0.836920
3, 2, 4.911838, 5.173538, 6.348199, 6.184062, -1.183892, -1.554206
3, 4, 3.147682, 3.311515, 4.166088, 4.335194, -0.064100, -0.394386
